date,description,amount,type,category
2025-08-17,miscellaneous expense,1649.83,1,others
2025-07-08,amusement park,0.0,1,entertainment
2025-08-18,pharmacy purchase,2134.13,0,health
2025-09-06,myntra shopping,2464.09,0,shopping
2025-07-26,spotify premium,2363.98,0,entertainment
2025-09-23,amusement park,3151.28,1,entertainment
2025-07-09,water bill,1862.21,0,bills
2025-08-19,dth recharge,9538.23,1,bills
2025-08-10,fuel refill,623.71,0,travel
2025-07-24,donation,2997.47,1,others
2025-10-23,health checkup,5277.55,1,health
2025-07-21,netflix subscription,4218.28,1,entertainment
2025-07-13,concert pass,8296.33,0,entertainment
2025-08-22,bus fare,6851.03,1,travel
2025-08-10,dominos pizza,5241.11,0,food
2025-07-29,flipkart order,8181.46,0,shopping
2025-07-17,internet recharge,1554.61,1,bills
2025-09-22,grocery store,5754.23,1,shopping
2025-09-11,doctor visit,9976.35,0,health
2025-09-16,stationery,51.85,1,others
2025-10-16,flipkart order,2043.61,0,shopping
2025-06-05,health checkup,3024.18,0,health
2025-10-14,mcdonalds lunch,1919.83,1,food
2025-08-27,netflix subscription,2276.13,1,entertainment
2025-10-05,movie ticket,608.67,0,entertainment
2025-07-19,spotify premium,3479.53,1,entertainment
2025-10-26,zomato delivery,2315.51,0,food
2025-07-04,gym membership,1192.8,0,health
2025-06-20,train ticket,7964.4,0,travel
2025-06-16,electronics purchase,6935.72,1,shopping
2025-06-04,internet recharge,5914.47,0,bills
2025-10-24,flight booking,3358.87,0,travel
2025-07-02,uber ride,1391.19,1,travel
2025-08-31,grocery store,7044.05,1,shopping
2025-10-24,grocery store,1770.07,0,shopping
2025-09-17,grocery store,1437.69,0,shopping
2025-10-06,myntra shopping,7392.25,0,shopping
2025-08-18,amusement park,4168.86,0,entertainment
2025-10-11,amazon purchase,8021.41,1,shopping
2025-08-09,doctor visit,9799.04,0,health
2025-09-07,bus fare,5945.21,0,travel
2025-07-16,concert pass,6546.15,0,entertainment
2025-08-29,grocery store,1217.55,0,shopping
2025-09-05,electricity bill,5851.81,0,bills
2025-06-10,mcdonalds lunch,4320.74,0,food
2025-06-26,cafe coffee,5260.54,0,food
2025-07-06,amusement park,1809.78,1,entertainment
2025-10-13,amazon purchase,1545.8,0,shopping
2025-09-21,internet recharge,4875.53,1,bills
2025-09-14,miscellaneous expense,8463.97,0,others
2025-06-04,fuel refill,5394.53,0,travel
2025-07-27,health checkup,5190.39,0,health
2025-08-27,pharmacy purchase,9971.0,0,health
2025-06-10,dth recharge,3691.04,0,bills
2025-09-09,spotify premium,1103.91,1,entertainment
2025-08-09,electronics purchase,6936.51,1,shopping
2025-10-18,water bill,7554.08,0,bills
2025-09-17,doctor visit,2770.03,1,health
2025-08-21,fuel refill,9999.15,1,travel
2025-10-12,dth recharge,8517.82,0,bills
2025-10-02,myntra shopping,7091.68,1,shopping
2025-08-05,zomato delivery,3832.28,1,food
2025-09-14,water bill,1645.09,1,bills
2025-07-06,donation,5994.21,0,others
2025-06-17,doctor visit,2943.66,0,health
2025-06-26,zomato delivery,4476.84,1,food
2025-08-16,swiggy order,4253.86,1,food
2025-10-11,miscellaneous expense,627.86,1,others
2025-08-25,spotify premium,7171.1,0,entertainment
2025-07-25,gift purchase,5436.07,1,others
2025-07-10,miscellaneous expense,3316.75,0,others
2025-08-26,protein supplements,1013.34,0,health
2025-07-26,concert pass,162.29,0,entertainment
2025-10-10,dth recharge,4270.37,1,bills
2025-06-08,bus fare,5254.01,0,travel
2025-08-25,mcdonalds lunch,3623.43,0,food
2025-08-20,health checkup,9399.41,0,health
2025-10-14,health checkup,3358.17,0,health
2025-09-11,donation,3391.39,1,others
2025-08-06,stationery,8425.7,0,others
2025-09-23,myntra shopping,454.4,1,shopping
2025-06-04,dth recharge,9466.98,1,bills
2025-10-05,ola cab,8442.52,0,travel
2025-10-14,flipkart order,5043.29,1,shopping
2025-07-12,health checkup,3020.61,1,health
2025-08-14,amazon purchase,5432.88,1,shopping
2025-08-29,donation,6225.09,1,others
2025-06-27,pharmacy purchase,4636.49,0,health
2025-06-26,flight booking,6479.48,0,travel
2025-06-24,miscellaneous expense,5497.99,1,others
2025-06-18,movie ticket,279.71,1,entertainment
2025-07-19,flipkart order,1060.8,0,shopping
2025-07-01,protein supplements,1375.56,0,health
2025-09-04,netflix subscription,8111.24,1,entertainment
2025-10-12,ola cab,9952.25,0,travel
2025-08-23,protein supplements,2758.23,1,health
2025-07-06,gym membership,4842.93,1,health
2025-06-30,mcdonalds lunch,9072.15,0,food
2025-06-17,gift purchase,3094.61,1,others
2025-08-03,flipkart order,5651.7,1,shopping
2025-07-29,grocery store,7773.34,1,shopping
2025-10-01,miscellaneous expense,3867.27,0,others
2025-08-13,train ticket,4464.07,0,travel
2025-07-31,gift purchase,6001.53,1,others
2025-10-05,amazon purchase,5637.8,1,shopping
2025-06-26,doctor visit,1409.93,1,health
2025-08-18,dominos pizza,2797.33,1,food
2025-10-10,gift purchase,4775.1,0,others
2025-08-02,zomato delivery,8218.38,1,food
2025-09-01,movie ticket,9780.69,1,entertainment
2025-06-24,flipkart order,4814.4,1,shopping
2025-09-24,grocery store,1757.22,0,shopping
2025-08-29,netflix subscription,800.2,0,entertainment
2025-08-02,miscellaneous expense,6586.84,0,others
2025-07-04,uber ride,8732.72,0,travel
