id,user,month,income,expenses,savings
1,1,2024-01-01,20709,18452,2257
2,1,2024-02-01,16154,18055,-1901
3,1,2024-03-01,19632,9664,9968
4,1,2024-04-01,18867,16135,2732
5,1,2024-05-01,16613,11153,5460
6,1,2024-06-01,24901,13652,11249
7,1,2024-07-01,17775,16051,1724
8,1,2024-08-01,17941,9170,8771
9,1,2024-09-01,33254,5768,27486
10,1,2024-10-01,27934,6135,21799
11,1,2024-11-01,29767,12456,17311
12,1,2024-12-01,33079,19982,13097
13,2,2024-01-01,20237,19166,1071
14,2,2024-02-01,28895,7022,21873
15,2,2024-03-01,19047,13775,5272
16,2,2024-04-01,16141,6388,9753
17,2,2024-05-01,25112,15508,9604
18,2,2024-06-01,34631,8627,26004
19,2,2024-07-01,30034,12137,17897
20,2,2024-08-01,34937,17932,17005
21,2,2024-09-01,20329,12594,7735
22,2,2024-10-01,34579,5728,28851
23,2,2024-11-01,26358,5713,20645
24,2,2024-12-01,21309,7697,13612
25,3,2024-01-01,32666,7030,25636
26,3,2024-02-01,28371,15070,13301
27,3,2024-03-01,29787,16007,13780
28,3,2024-04-01,31106,16852,14254
29,3,2024-05-01,34001,16089,17912
30,3,2024-06-01,22619,19716,2903
31,3,2024-07-01,25006,9981,15025
32,3,2024-08-01,18202,14324,3878
33,3,2024-09-01,32744,18872,13872
34,3,2024-10-01,29944,19493,10451
35,3,2024-11-01,31808,13984,17824
36,3,2024-12-01,28027,8632,19395
37,4,2024-01-01,29862,12743,17119
38,4,2024-02-01,19101,10301,8800
39,4,2024-03-01,33870,6681,27189
40,4,2024-04-01,23063,5607,17456
41,4,2024-05-01,24212,17068,7144
42,4,2024-06-01,32435,5591,26844
43,4,2024-07-01,33589,15448,18141
44,4,2024-08-01,32716,11982,20734
45,4,2024-09-01,34569,13145,21424
46,4,2024-10-01,29978,13843,16135
47,4,2024-11-01,33846,9787,24059
48,4,2024-12-01,16662,11863,4799
49,5,2024-01-01,15639,6813,8826
50,5,2024-02-01,17960,10079,7881
51,5,2024-03-01,18961,6720,12241
52,5,2024-04-01,34315,18398,15917
53,5,2024-05-01,26628,18072,8556
54,5,2024-06-01,17790,8663,9127
55,5,2024-07-01,17799,8240,9559
56,5,2024-08-01,28462,17913,10549
57,5,2024-09-01,23852,12627,11225
58,5,2024-10-01,31010,7580,23430
59,5,2024-11-01,32208,16703,15505
60,5,2024-12-01,20316,16921,3395
61,6,2024-01-01,34509,14026,20483
62,6,2024-02-01,25367,17458,7909
63,6,2024-03-01,28610,6415,22195
64,6,2024-04-01,22834,6902,15932
65,6,2024-05-01,28060,15977,12083
66,6,2024-06-01,29352,8076,21276
67,6,2024-07-01,25060,5004,20056
68,6,2024-08-01,25249,17681,7568
69,6,2024-09-01,31696,18485,13211
70,6,2024-10-01,26375,6107,20268
71,6,2024-11-01,23437,14761,8676
72,6,2024-12-01,34774,11957,22817
73,7,2024-01-01,15099,6601,8498
74,7,2024-02-01,26104,18628,7476
75,7,2024-03-01,34009,11966,22043
76,7,2024-04-01,24842,5275,19567
77,7,2024-05-01,30910,17061,13849
78,7,2024-06-01,28237,5866,22371
79,7,2024-07-01,28098,6884,21214
80,7,2024-08-01,30550,7936,22614
81,7,2024-09-01,28521,19332,9189
82,7,2024-10-01,34012,13514,20498
83,7,2024-11-01,30019,13342,16677
84,7,2024-12-01,17074,19695,-2621
85,8,2024-01-01,33173,9892,23281
86,8,2024-02-01,29344,19680,9664
87,8,2024-03-01,33362,7061,26301
88,8,2024-04-01,30146,10064,20082
89,8,2024-05-01,30869,19998,10871
90,8,2024-06-01,28083,13235,14848
91,8,2024-07-01,25952,5608,20344
92,8,2024-08-01,25606,8514,17092
93,8,2024-09-01,30784,17190,13594
94,8,2024-10-01,27279,19368,7911
95,8,2024-11-01,29544,10138,19406
96,8,2024-12-01,29680,11834,17846
97,9,2024-01-01,15644,7609,8035
98,9,2024-02-01,25073,19186,5887
99,9,2024-03-01,16844,17011,-167
100,9,2024-04-01,15700,8480,7220
101,9,2024-05-01,33930,15055,18875
102,9,2024-06-01,15164,9028,6136
103,9,2024-07-01,19256,7241,12015
104,9,2024-08-01,32449,6931,25518
105,9,2024-09-01,27465,11961,15504
106,9,2024-10-01,31897,6649,25248
107,9,2024-11-01,15497,11021,4476
108,9,2024-12-01,30811,6117,24694
109,10,2024-01-01,17997,8670,9327
110,10,2024-02-01,29675,16846,12829
111,10,2024-03-01,24139,19198,4941
112,10,2024-04-01,24118,5695,18423
113,10,2024-05-01,34141,13368,20773
114,10,2024-06-01,24191,11089,13102
115,10,2024-07-01,23753,13436,10317
116,10,2024-08-01,31150,13023,18127
117,10,2024-09-01,27835,14160,13675
118,10,2024-10-01,25913,13163,12750
119,10,2024-11-01,26504,6820,19684
120,10,2024-12-01,23741,13826,9915
121,11,2024-01-01,31571,12917,18654
122,11,2024-02-01,31808,5723,26085
123,11,2024-03-01,24344,17199,7145
124,11,2024-04-01,16081,11206,4875
125,11,2024-05-01,16837,9417,7420
126,11,2024-06-01,16654,9945,6709
127,11,2024-07-01,18531,16811,1720
128,11,2024-08-01,34665,19526,15139
129,11,2024-09-01,23996,12302,11694
130,11,2024-10-01,24890,19428,5462
131,11,2024-11-01,32382,5047,27335
132,11,2024-12-01,20766,14963,5803
133,12,2024-01-01,34967,5702,29265
134,12,2024-02-01,20477,14823,5654
135,12,2024-03-01,31431,8784,22647
136,12,2024-04-01,24529,10977,13552
137,12,2024-05-01,26909,5610,21299
138,12,2024-06-01,16507,9352,7155
139,12,2024-07-01,15672,12180,3492
140,12,2024-08-01,16795,5954,10841
141,12,2024-09-01,17610,9080,8530
142,12,2024-10-01,30597,16486,14111
143,12,2024-11-01,28776,8110,20666
144,12,2024-12-01,23465,14904,8561
145,13,2024-01-01,26942,9903,17039
146,13,2024-02-01,17498,11766,5732
147,13,2024-03-01,21727,9371,12356
148,13,2024-04-01,17912,8034,9878
149,13,2024-05-01,33559,9089,24470
150,13,2024-06-01,18358,11698,6660
151,13,2024-07-01,17753,9456,8297
152,13,2024-08-01,21041,12514,8527
153,13,2024-09-01,15196,17984,-2788
154,13,2024-10-01,26609,13657,12952
155,13,2024-11-01,29889,18295,11594
156,13,2024-12-01,16293,14944,1349
157,14,2024-01-01,16905,18110,-1205
158,14,2024-02-01,20861,9115,11746
159,14,2024-03-01,34746,6998,27748
