id,user,date,description,amount,type,category,source,created_at
1,1,2025-02-10,Monthly salary,23706.07,Income,Salary,OCR,2025-02-10
2,1,2025-01-07,Metro recharge,783.02,Expense,Travel,OCR,2025-01-07
3,1,2025-01-21,Snacks,259.49,Expense,Food,OCR,2025-01-21
4,1,2025-02-04,Grocery shopping,1405.75,Expense,Groceries,Manual,2025-02-04
5,1,2025-01-01,Dmart purchase,1067.35,Expense,Groceries,Manual,2025-01-01
6,1,2025-01-10,Amazon purchase,477.74,Expense,Shopping,Manual,2025-01-10
7,1,2025-02-02,Internet bill,212.17,Expense,Bills,Manual,2025-02-02
8,1,2025-01-16,Arcade games,906.07,Expense,Entertainment,CSV,2025-01-16
9,2,2025-01-16,Content editing payout,17971.28,Income,Freelance,Manual,2025-01-16
10,2,2025-01-07,Monthly salary,23826.69,Income,Salary,OCR,2025-01-07
11,2,2025-01-18,Monthly salary,21164.86,Income,Salary,CSV,2025-01-18
12,2,2025-02-06,Bowling,175.79,Expense,Entertainment,Manual,2025-02-06
13,2,2025-01-27,Myntra order,484.38,Expense,Shopping,OCR,2025-01-27
14,2,2025-01-19,Metro recharge,798.23,Expense,Travel,OCR,2025-01-19
15,2,2025-01-13,Milk & bread,223.3,Expense,Groceries,Manual,2025-01-13
16,2,2025-01-04,Salary credited,4489.63,Income,Salary,CSV,2025-01-04
17,3,2025-01-14,Salary credited,2374.3,Income,Salary,Manual,2025-01-14
18,3,2025-01-01,Arcade games,406.37,Expense,Entertainment,CSV,2025-01-01
19,3,2025-01-31,Content editing payout,25794.4,Income,Freelance,Manual,2025-01-31
20,3,2025-01-08,Gas bill,802.35,Expense,Bills,OCR,2025-01-08
21,3,2025-02-03,Dinner outside,850.4,Expense,Food,CSV,2025-02-03
22,3,2025-01-07,Milk & bread,186.74,Expense,Groceries,Manual,2025-01-07
23,3,2025-01-04,Arcade games,625.12,Expense,Entertainment,Manual,2025-01-04
24,3,2025-02-07,Clothes shopping,1079.15,Expense,Shopping,OCR,2025-02-07
25,4,2025-02-10,Salary credited,15272.45,Income,Salary,OCR,2025-02-10
26,4,2025-01-30,Grocery shopping,128.16,Expense,Groceries,CSV,2025-01-30
27,4,2025-01-13,Monthly salary,6191.79,Income,Salary,OCR,2025-01-13
28,4,2025-01-01,Monthly salary,16593.84,Income,Salary,CSV,2025-01-01
29,4,2025-01-18,Food delivery - Zomato,658.12,Expense,Food,Manual,2025-01-18
30,4,2025-02-04,Snacks,375.71,Expense,Food,Manual,2025-02-04
31,4,2025-01-10,Gas bill,985.36,Expense,Bills,Manual,2025-01-10
32,4,2025-02-09,Bowling,779.36,Expense,Entertainment,Manual,2025-02-09
33,5,2025-01-09,Clothes shopping,334.59,Expense,Shopping,Manual,2025-01-09
34,5,2025-01-15,Arcade games,942.71,Expense,Entertainment,Manual,2025-01-15
35,5,2025-01-21,Water bill,1009.45,Expense,Bills,OCR,2025-01-21
36,5,2025-02-10,Dmart purchase,333.51,Expense,Groceries,Manual,2025-02-10
37,5,2025-02-03,Cafe coffee,972.48,Expense,Food,CSV,2025-02-03
38,5,2025-02-05,Water bill,844.93,Expense,Bills,OCR,2025-02-05
39,5,2025-01-07,Clothes shopping,593.21,Expense,Shopping,CSV,2025-01-07
40,5,2025-02-01,Monthly salary,26926.05,Income,Salary,OCR,2025-02-01
41,6,2025-01-30,Auto fare,1306.7,Expense,Travel,Manual,2025-01-30
42,6,2025-01-12,Grocery shopping,915.23,Expense,Groceries,CSV,2025-01-12
43,6,2025-01-15,Food delivery - Zomato,70.91,Expense,Food,CSV,2025-01-15
44,6,2025-02-04,Salary credited,29617.8,Income,Salary,Manual,2025-02-04
45,6,2025-01-29,Salary credited,20912.39,Income,Salary,OCR,2025-01-29
46,6,2025-02-04,Freelance work payment,3228.71,Income,Freelance,CSV,2025-02-04
47,6,2025-01-07,Bus ticket,792.15,Expense,Travel,CSV,2025-01-07
48,6,2025-01-28,Content editing payout,18411.31,Income,Freelance,Manual,2025-01-28
49,7,2025-02-06,Monthly salary,8771.31,Income,Salary,Manual,2025-02-06
50,7,2025-01-07,Clothes shopping,1484.63,Expense,Shopping,OCR,2025-01-07
51,7,2025-01-25,Freelance work payment,17337.97,Income,Freelance,OCR,2025-01-25
52,7,2025-02-01,Amazon purchase,1471.57,Expense,Shopping,CSV,2025-02-01
53,7,2025-01-02,Cafe coffee,1026.39,Expense,Food,Manual,2025-01-02
54,7,2025-02-06,Clothes shopping,216.74,Expense,Shopping,Manual,2025-02-06
55,7,2025-02-10,Food delivery - Zomato,949.94,Expense,Food,OCR,2025-02-10
56,7,2025-01-09,Movie night,894.21,Expense,Entertainment,OCR,2025-01-09
57,8,2025-01-25,Auto fare,1244.65,Expense,Travel,Manual,2025-01-25
58,8,2025-02-09,Milk & bread,209.05,Expense,Groceries,CSV,2025-02-09
