id,user,title,target_amount,saved_amount,start_date,end_date,completed,created_at
1,1,Bike Purchase,30000,12000,2025-01-01,2025-03-30,False,2025-01-01
2,1,Laptop Upgrade,55000,20000,2025-01-10,2025-04-20,False,2025-01-10
3,2,College Fees,45000,15000,2025-01-05,2025-03-15,False,2025-01-05
4,2,Goa Trip,20000,8000,2025-01-12,2025-03-10,False,2025-01-12
5,3,New Phone,25000,10000,2025-01-02,2025-03-22,False,2025-01-02
6,3,Emergency Fund,40000,15000,2025-01-14,2025-04-12,False,2025-01-14
7,4,Online Course,15000,6000,2025-01-08,2025-03-08,False,2025-01-08
8,4,Trekking Trip,18000,7000,2025-01-18,2025-04-01,False,2025-01-18
9,5,Camera Upgrade,48000,15000,2025-01-04,2025-04-04,False,2025-01-04
10,5,Tablet Purchase,30000,9000,2025-01-16,2025-03-18,False,2025-01-16
11,6,New Earbuds,8000,3000,2025-01-11,2025-02-28,False,2025-01-11
12,6,College Project Fund,20000,7000,2025-01-20,2025-04-22,False,2025-01-20
13,7,Travel Europe,150000,25000,2025-01-03,2025-09-30,False,2025-01-03
14,7,New iPad,60000,18000,2025-01-15,2025-05-15,False,2025-01-15
15,8,Birthday Party Fund,12000,3000,2025-01-07,2025-02-20,False,2025-01-07
16,8,Bike Repair,9000,2000,2025-01-19,2025-03-19,False,2025-01-19
17,9,Makeup Kit,15000,5000,2025-01-09,2025-03-01,False,2025-01-09
18,9,Vacation Trip,35000,10000,2025-01-21,2025-04-24,False,2025-01-21
19,10,Gaming Console,45000,13000,2025-01-05,2025-04-05,False,2025-01-05
20,10,New Phone,26000,7000,2025-01-17,2025-03-30,False,2025-01-17
21,11,Clothing Budget,15000,6000,2025-01-08,2025-03-08,False,2025-01-08
22,11,Trip with Friends,20000,9000,2025-01-19,2025-04-19,False,2025-01-19
23,12,PC Upgrade,70000,25000,2025-01-02,2025-05-02,False,2025-01-02
24,12,Workshop Fees,10000,3000,2025-01-13,2025-03-22,False,2025-01-13
25,13,AirPods Pro,24000,7000,2025-01-09,2025-03-12,False,2025-01-09
26,13,New Wardrobe,30000,9000,2025-01-20,2025-04-20,False,2025-01-20
27,14,Online Certification,20000,6000,2025-01-06,2025-03-28,False,2025-01-06
28,14, DSLR Camera,65000,18000,2025-01-15,2025-06-10,False,2025-01-15
29,15,Canada Trip Fund,120000,20000,2025-01-01,2025-08-01,False,2025-01-01
30,15,Jewelry Purchase,50000,12000,2025-01-14,2025-04-14,False,2025-01-14
31,16,Bike Accessories,15000,4000,2025-01-11,2025-03-20,False,2025-01-11
32,16,New Laptop,65000,22000,2025-01-25,2025-06-25,False,2025-01-25
33,17,Exam Coaching Fees,30000,9000,2025-01-03,2025-04-03,False,2025-01-03
34,17,Trekking Trip,18000,5000,2025-01-16,2025-03-25,False,2025-01-16
35,18,Home Renovation Fund,90000,20000,2025-01-02,2025-08-02,False,2025-01-02
36,18,Microwave Purchase,12000,4000,2025-01-23,2025-03-23,False,2025-01-23
37,19,Fitness Plan,20000,6000,2025-01-09,2025-03-09,False,2025-01-09
38,19,New Bicycle,25000,7000,2025-01-17,2025-04-17,False,2025-01-17
39,20,Guitar Purchase,18000,5000,2025-01-07,2025-03-30,False,2025-01-07
40,20,Camera Lens,45000,13000,2025-01-20,2025-05-20,False,2025-01-20
41,21,Wedding Gift Fund,15000,4000,2025-01-08,2025-03-10,False,2025-01-08
42,21,TV Upgrade,35000,9000,2025-01-18,2025-04-18,False,2025-01-18
43,22,Festival Shopping,20000,6000,2025-01-06,2025-03-28,False,2025-01-06
44,22,Watch Purchase,18000,5000,2025-01-13,2025-03-13,False,2025-01-13
45,23,MacBook Fund,150000,30000,2025-01-04,2025-10-04,False,2025-01-04
46,23,Digital Marketing Course,25000,7000,2025-01-15,2025-04-15,False,2025-01-15
47,24,Bike Down Payment,30000,8000,2025-01-11,2025-03-11,False,2025-01-11
48,24,Rent Security Deposit,40000,12000,2025-01-22,2025-06-22,False,2025-01-22
49,25,Premium Headphones,20000,6500,2025-01-05,2025-03-05,False,2025-01-05
50,25,Trip to Kerala,38000,10000,2025-01-19,2025-04-19,False,2025-01-19
