user,month,income,expenses,week,weekly_value,category,category_value,ai_insight
1,2025-06,46316,21190,W1,6238,,,You're overspending on Food this month.
1,2025-06,46316,21190,W2,5250,,,You're overspending on Food this month.
1,2025-06,46316,21190,W3,5633,,,You're overspending on Food this month.
1,2025-06,46316,21190,W4,6934,,,You're overspending on Food this month.
1,2025-06,46316,21190,,,Food,6209,You're overspending on Food this month.
1,2025-06,46316,21190,,,Travel,4250,You're overspending on Food this month.
1,2025-06,46316,21190,,,Bills,4520,You're overspending on Food this month.
1,2025-06,46316,21190,,,Shopping,6458,You're overspending on Food this month.
1,2025-06,46316,21190,,,Entertainment,5753,You're overspending on Food this month.
1,2025-06,46316,21190,,,Misc,6179,You're overspending on Food this month.
1,2025-07,42373,23229,W1,4417,,,Travel costs increased by 12% this month.
1,2025-07,42373,23229,W2,5187,,,Travel costs increased by 12% this month.
1,2025-07,42373,23229,W3,6020,,,Travel costs increased by 12% this month.
1,2025-07,42373,23229,W4,6670,,,Travel costs increased by 12% this month.
1,2025-07,42373,23229,,,Food,2374,Travel costs increased by 12% this month.
1,2025-07,42373,23229,,,Travel,2536,Travel costs increased by 12% this month.
1,2025-07,42373,23229,,,Bills,1799,Travel costs increased by 12% this month.
1,2025-07,42373,23229,,,Shopping,1521,Travel costs increased by 12% this month.
1,2025-07,42373,23229,,,Entertainment,2767,Travel costs increased by 12% this month.
1,2025-07,42373,23229,,,Misc,7046,Travel costs increased by 12% this month.
1,2025-08,44176,23315,W1,4533,,,Bills are unusually high this month.
1,2025-08,44176,23315,W2,6165,,,Bills are unusually high this month.
1,2025-08,44176,23315,W3,6383,,,Bills are unusually high this month.
1,2025-08,44176,23315,W4,4882,,,Bills are unusually high this month.
1,2025-08,44176,23315,,,Food,7641,Bills are unusually high this month.
1,2025-08,44176,23315,,,Travel,7836,Bills are unusually high this month.
1,2025-08,44176,23315,,,Bills,7415,Bills are unusually high this month.
1,2025-08,44176,23315,,,Shopping,5409,Bills are unusually high this month.
1,2025-08,44176,23315,,,Entertainment,6723,Bills are unusually high this month.
1,2025-08,44176,23315,,,Misc,6330,Bills are unusually high this month.
1,2025-09,51241,25712,W1,4706,,,Entertainment spending increased 18%.
1,2025-09,51241,25712,W2,6447,,,Entertainment spending increased 18%.
1,2025-09,51241,25712,W3,5208,,,Entertainment spending increased 18%.
1,2025-09,51241,25712,W4,5790,,,Entertainment spending increased 18%.
1,2025-09,51241,25712,,,Food,7123,Entertainment spending increased 18%.
1,2025-09,51241,25712,,,Travel,5593,Entertainment spending increased 18%.
1,2025-09,51241,25712,,,Bills,1437,Entertainment spending increased 18%.
1,2025-09,51241,25712,,,Shopping,5456,Entertainment spending increased 18%.
1,2025-09,51241,25712,,,Entertainment,6754,Entertainment spending increased 18%.
1,2025-09,51241,25712,,,Misc,2615,Entertainment spending increased 18%.
1,2025-10,46834,23464,W1,6201,,,Travel spending is stable.
1,2025-10,46834,23464,W2,4260,,,Travel spending is stable.
1,2025-10,46834,23464,W3,5840,,,Travel spending is stable.
1,2025-10,46834,23464,W4,4470,,,Travel spending is stable.
1,2025-10,46834,23464,,,Food,6725,Travel spending is stable.
1,2025-10,46834,23464,,,Travel,1779,Travel spending is stable.
1,2025-10,46834,23464,,,Bills,1370,Travel spending is stable.
1,2025-10,46834,23464,,,Shopping,1747,Travel spending is stable.
1,2025-10,46834,23464,,,Entertainment,2759,Travel spending is stable.
1,2025-10,46834,23464,,,Misc,7879,Travel spending is stable.
1,2025-11,49239,22586,W1,4299,,,Good job! Your spending is controlled.
1,2025-11,49239,22586,W2,4880,,,Good job! Your spending is controlled.
1,2025-11,49239,22586,W3,6440,,,Good job! Your spending is controlled.
1,2025-11,49239,22586,W4,6447,,,Good job! Your spending is controlled.
1,2025-11,49239,22586,,,Food,2347,Good job! Your spending is controlled.
1,2025-11,49239,22586,,,Travel,3634,Good job! Your spending is controlled.
1,2025-11,49239,22586,,,Bills,7363,Good job! Your spending is controlled.
1,2025-11,49239,22586,,,Shopping,3422,Good job! Your spending is controlled.
1,2025-11,49239,22586,,,Entertainment,2778,Good job! Your spending is controlled.
1,2025-11,49239,22586,,,Misc,968,Good job! Your spending is controlled.
