date,description,amount,type,category
2025-08-17,Mis@@@cellaneous expense,1649.83,debit,Others
2025-07-08,50 in Amusement park,,debit,Entertainment
2025-08-18,Pharmacy purchase,2134.13,credit,Health
2025-09-06,Myntra shopping,2464.09,credit,Shopping
2025-07-26,Spotify premium,2363.98,credit,Entertainment
2025-09-23,Amusement park,3151.28,debit,Entertainment
2025-07-09,Water bill,1862.21,credit,Bills
2025-08-19,DTH recharge,9538.23,debit,Bills
2025-08-10,Fuel refill,623.71,credit,Travel
2025-07-24,Donation,2997.47,debit,Others
2025-10-23,Health checkup,5277.55,debit,Health
2025-07-21,Netflix subscription,4218.28,debit,Entertainment
2025-07-13,Concert pass,8296.33,credit,Entertainment
2025-08-22,Bus fare,6851.03,debit,Travel
2025-08-10,Domino's pizza,5241.11,credit,Food
2025-07-29,Flipkart order,8181.46,credit,Shopping
2025-07-17,Internet recharge,1554.61,debit,Bills
2025-09-22,Grocery store,5754.23,debit,Shopping
2025-09-11,Doctor visit,9976.35,credit,Health
2025-09-16,Stationery,51.85,debit,Others
2025-10-16,Flipkart order,2043.61,credit,Shopping
2025-06-05,Health checkup,3024.18,credit,Health
2025-10-14,McDonald's lunch,1919.83,debit,Food
2025-08-27,Netflix subscription,2276.13,debit,Entertainment
2025-10-05,Movie ticket,608.67,credit,Entertainment
2025-07-19,Spotify premium,3479.53,debit,Entertainment
2025-10-26,Zomato delivery,2315.51,credit,Food
2025-07-04,Gym membership,1192.8,credit,Health
2025-06-20,Train ticket,7964.4,credit,Travel
2025-06-16,Electronics purchase,6935.72,debit,Shopping
2025-06-04,Internet recharge,5914.47,credit,Bills
2025-10-24,Flight booking,3358.87,credit,Travel
2025-07-02,Uber ride,1391.19,debit,Travel
2025-08-31,Grocery store,7044.05,debit,Shopping
2025-10-24,Grocery store,1770.07,credit,Shopping
2025-09-17,Grocery store,1437.69,credit,Shopping
2025-10-06,Myntra shopping,7392.25,credit,Shopping
2025-08-18,Amusement park,4168.86,credit,Entertainment
2025-10-11,Amazon purchase,8021.41,debit,Shopping
2025-08-09,Doctor visit,9799.04,credit,Health
2025-09-07,Bus fare,5945.21,credit,Travel
2025-07-16,Concert pass,6546.15,credit,Entertainment
2025-08-29,Grocery store,1217.55,credit,Shopping
2025-09-05,Electricity bill,5851.81,credit,Bills
2025-06-10,McDonald's lunch,4320.74,credit,Food
2025-06-26,Cafe coffee,5260.54,credit,Food
2025-07-06,Amusement park,1809.78,debit,Entertainment
2025-10-13,Amazon purchase,1545.8,credit,Shopping
2025-09-21,Internet recharge,4875.53,debit,Bills
2025-09-14,Miscellaneous expense,8463.97,credit,Others
